cusip,security_name,state,principal_amount,coupon_pct,maturity_date,dated_date,closing_date,interest_rate_current,rate_type,source_of_repayment,rating_fitch,rating_kbra,rating_moodys,rating_sp,liquidity_facility,provider_identity,remarketing_agent,num_trades,num_rate_resets,num_disclosures,emma_url,crawl_timestamp
AAB4AB7DB419BB830DCC3293F13AAD8D6,THE INDUSTRIAL DEVELOPMENT AUTHORITY OF MOBILE COUNTY / SOLID WASTE DISPOSAL REVENUE BONDS (AM/NS CALVERT LLC PROJECT) SERIES 2024B,AL,480000000,4.75,12/01/2054,12/12/2024,,,,,,,,,,,,0,0,42,https://emma.msrb.org/Security/Details/AAB4AB7DB419BB830DCC3293F13AAD8D6,2026-02-06T20:10:01.023098+00:00
A04EC1B44EE0C69094A245BAB9C9CF3AD,THE INDUSTRIAL DEVELOPMENT AUTHORITY OF BALDWIN COUNTY / COUNTY SOLID WASTE DISPOSAL REVENUE BONDS (NOVELIS CORPORATION PROJECT) SERIES 2025A,AL,400000000,5,06/01/2055,06/17/2025,,,,,,,,,,,,0,0,44,https://emma.msrb.org/Security/Details/A04EC1B44EE0C69094A245BAB9C9CF3AD,2026-02-06T20:10:28.283994+00:00
A611C0D8D1F5A3FBDF3395884CBE3D090,"THE INDUSTRIAL DEVELOPMENT AUTHORITY OF MOBILE COUNTY / SOLID WASTE DISPOSAL REVENUE BONDS (AM/NS CALVERT LLC PROJECT), SERIES 2024A",AL,378000000,5,06/01/2054,06/20/2024,,,,,,,,,,,,0,0,32,https://emma.msrb.org/Security/Details/A611C0D8D1F5A3FBDF3395884CBE3D090,2026-02-06T20:10:40.100456+00:00
AAB4AB7DB419BB830DCC3293F13AAD8D6,THE INDUSTRIAL DEVELOPMENT AUTHORITY OF MOBILE COUNTY / SOLID WASTE DISPOSAL REVENUE BONDS (AM/NS CALVERT LLC PROJECT) SERIES 2024B,AL,480000000,4.75 %,12/01/2054,12/12/2024,12/12/2024,,,,,,,,,,,1,0,18,https://emma.msrb.org/Security/Details/AAB4AB7DB419BB830DCC3293F13AAD8D6,2026-02-06T20:16:38.824132+00:00
A04EC1B44EE0C69094A245BAB9C9CF3AD,THE INDUSTRIAL DEVELOPMENT AUTHORITY OF BALDWIN COUNTY / COUNTY SOLID WASTE DISPOSAL REVENUE BONDS (NOVELIS CORPORATION PROJECT) SERIES 2025A,AL,400000000,5 %,06/01/2055,06/17/2025,06/17/2025,,,,,,,,,,,1,0,21,https://emma.msrb.org/Security/Details/A04EC1B44EE0C69094A245BAB9C9CF3AD,2026-02-06T20:19:04.166644+00:00
A611C0D8D1F5A3FBDF3395884CBE3D090,"THE INDUSTRIAL DEVELOPMENT AUTHORITY OF MOBILE COUNTY / SOLID WASTE DISPOSAL REVENUE BONDS (AM/NS CALVERT LLC PROJECT), SERIES 2024A",AL,378000000,5 %,06/01/2054,06/20/2024,06/20/2024,,,,,,,,,,,1,0,20,https://emma.msrb.org/Security/Details/A611C0D8D1F5A3FBDF3395884CBE3D090,2026-02-06T20:21:26.239504+00:00
THEINDUST,THE INDUSTRIAL DEVELOPMENT AUTHORITY OF MOBILE COUNTY / SOLID WASTE DISPOSAL REVENUE BONDS (AM/NS CALVERT LLC PROJECT) SERIES 2024B,AL,480000000,4.75 %,12/01/2054,12/12/2024,12/12/2024,,,,,,,,,,,0,0,13,https://emma.msrb.org/Security/Details/AAB4AB7DB419BB830DCC3293F13AAD8D6,2026-02-06T20:44:04.721333+00:00
THEINDUST,THE INDUSTRIAL DEVELOPMENT AUTHORITY OF BALDWIN COUNTY / COUNTY SOLID WASTE DISPOSAL REVENUE BONDS (NOVELIS CORPORATION PROJECT) SERIES 2025A,AL,400000000,5 %,06/01/2055,06/17/2025,06/17/2025,,,,,,,,,,,0,0,15,https://emma.msrb.org/Security/Details/A04EC1B44EE0C69094A245BAB9C9CF3AD,2026-02-06T20:44:31.222154+00:00
THEINDUST,"THE INDUSTRIAL DEVELOPMENT AUTHORITY OF MOBILE COUNTY / SOLID WASTE DISPOSAL REVENUE BONDS (AM/NS CALVERT LLC PROJECT), SERIES 2024A",AL,378000000,5 %,06/01/2054,06/20/2024,06/20/2024,,,,,,,,,,,0,0,15,https://emma.msrb.org/Security/Details/A611C0D8D1F5A3FBDF3395884CBE3D090,2026-02-06T20:44:56.966948+00:00
AAB4AB7DB419BB830DCC3293F13AAD8D6,SOLID WASTE DISPOSAL REVENUE BONDS (AM/NS CALVERT LLC PROJECT) SERIES 2024B,AL,480000000,4.75 %,12/01/2054,12/12/2024,12/12/2024,,,,,,,,,,,0,0,13,https://emma.msrb.org/Security/Details/AAB4AB7DB419BB830DCC3293F13AAD8D6,2026-02-06T20:52:26.198045+00:00
A04EC1B44EE0C69094A245BAB9C9CF3AD,SOLID WASTE DISPOSAL REVENUE BONDS (AM/NS CALVERT LLC PROJECT) SERIES 2024C,AL,400000000,5 %,06/01/2055,06/17/2025,06/17/2025,,,,,,,,,,,0,0,15,https://emma.msrb.org/Security/Details/A04EC1B44EE0C69094A245BAB9C9CF3AD,2026-02-06T20:52:53.546184+00:00
A611C0D8D1F5A3FBDF3395884CBE3D090,"SOLID WASTE DISPOSAL REVENUE BONDS (AM/NS CALVERT LLC PROJECT), SERIES 2024A",AL,378000000,5 %,06/01/2054,06/20/2024,06/20/2024,,,,,,,,,,,0,0,15,https://emma.msrb.org/Security/Details/A611C0D8D1F5A3FBDF3395884CBE3D090,2026-02-06T20:53:17.959395+00:00
AAB4AB7DB419BB830DCC3293F13AAD8D6,SOLID WASTE DISPOSAL REVENUE BONDS (AM/NS CALVERT LLC PROJECT) SERIES 2024B,AL,480000000,4.75 %,12/01/2054,12/12/2024,12/12/2024,,,,,,,,,,,0,0,13,https://emma.msrb.org/Security/Details/AAB4AB7DB419BB830DCC3293F13AAD8D6,2026-02-06T20:58:52.000131+00:00
AAB4AB7DB419BB830DCC3293F13AAD8D6,SOLID WASTE DISPOSAL REVENUE BONDS (AM/NS CALVERT LLC PROJECT) SERIES 2024B,AL,480000000,4.75 %,12/01/2054,12/12/2024,12/12/2024,,,,,,,,,,,100,0,13,https://emma.msrb.org/Security/Details/AAB4AB7DB419BB830DCC3293F13AAD8D6,2026-02-06T21:04:21.913667+00:00
A04EC1B44EE0C69094A245BAB9C9CF3AD,THE INDUSTRIAL DEVELOPMENT AUTHORITY OF BALDWIN COUNTY / COUNTY SOLID WASTE DISPOSAL REVENUE BONDS (NOVELIS CORPORATION PROJECT) SERIES 2025A,AL,400000000,5 %,06/01/2055,06/17/2025,06/17/2025,,,,,,,,,,,84,0,15,https://emma.msrb.org/Security/Details/A04EC1B44EE0C69094A245BAB9C9CF3AD,2026-02-06T23:31:12.856089+00:00
A611C0D8D1F5A3FBDF3395884CBE3D090,"THE INDUSTRIAL DEVELOPMENT AUTHORITY OF MOBILE COUNTY / SOLID WASTE DISPOSAL REVENUE BONDS (AM/NS CALVERT LLC PROJECT), SERIES 2024A",AL,378000000,5 %,06/01/2054,06/20/2024,06/20/2024,,,,,,,,,,,100,0,15,https://emma.msrb.org/Security/Details/A611C0D8D1F5A3FBDF3395884CBE3D090,2026-02-06T23:31:40.348445+00:00
A3B71CD000E1A7B3F582FA1242748F6FE,"THE CUMBERLAND COUNTY INDUSTRIAL FACILITIES AND POLLUTION CONTROL FINANCING AUTHORITY / SOLID WASTE DISPOSAL REVENUE BONDS (PROJECT AERO), SERIES 2024",NC,250000000,3.125 %,12/01/2027,12/12/2024,11/03/2025,,,,,,,,,,,29,0,2,https://emma.msrb.org/Security/Details/A3B71CD000E1A7B3F582FA1242748F6FE,2026-02-06T23:32:09.988790+00:00
A2845E2E2110CD7554EE4E6CC3E494862,FLORIDA DEVELOPMENT FINANCE CORPORATION / SOLID WASTE DISPOSAL REVENUE BONDS (GFL SOLID WASTE SOUTHEAST LLC PROJECT) SERIES 2024A,FL,210000000,4.375 %,10/01/2054,10/08/2024,10/08/2024,,,,,,,,,,,100,0,11,https://emma.msrb.org/Security/Details/A2845E2E2110CD7554EE4E6CC3E494862,2026-02-06T23:32:34.168294+00:00
A2E0CA8F4E0D47393C03F4024808D2CCA,VIRGINIA ELECTRIC AND POWER COMPANY INDUSTRIAL DEVELOPMENT AUTHORITYOF WISE COUNTY / SOLID WASTE AND SEWAGE DISPOSAL REVENUE BONDS (VIRGINIA ELECTRIC AND POWER COMPANY PROJECT) SERIES 2009A (NON-AMT),VA,160000000,3.125 %,10/01/2040,09/30/2009,09/02/2025,,,,,,,,,,,76,0,6,https://emma.msrb.org/Security/Details/A2E0CA8F4E0D47393C03F4024808D2CCA,2026-02-06T23:33:02.398079+00:00
AF2CF5B43514F0614FB24CFA1C6B1F287,"CALIFORNIA MUNICIPAL FINANCE AUTHORITY / SOLID WASTE DISPOSAL REVENUE BONDS (WASTE MANAGEMENT, INC. PROJECT) SERIES 2020B",CA,150000000,3.45 %,10/01/2045,10/01/2020,06/02/2025,,,,,,,,,,,100,0,31,https://emma.msrb.org/Security/Details/AF2CF5B43514F0614FB24CFA1C6B1F287,2026-02-06T23:34:03.554505+00:00
A6B5D2F1E1AD728D9556DF5A5BFF0EF2A,"PENNSYLVANIA ECONOMIC DEVELOPMENT FINANCING AUTHORITY / SOLID WASTE DISPOSAL REVENUE BONDS (WASTE MANAGEMENT, INC. PROJECT) SERIES 2021A-2",PA,150000000,4.6 %,10/01/2046,10/04/2023,10/04/2023,,,,,,,,,,,97,0,23,https://emma.msrb.org/Security/Details/A6B5D2F1E1AD728D9556DF5A5BFF0EF2A,2026-02-06T23:34:50.182784+00:00
A19B1C3001AF661DC625A9D714FF53817,WEST VIRGINIA ECONOMIC DEVELOPMENT AUTHORITY / SOLID WASTE DISPOSAL FACILITIES REVENUE BONDS (COMMERCIAL METALS COMPANY PROJECT) SERIES 2025,WV,150000000,4.625 %,04/15/2055,05/15/2025,05/15/2025,,,,,,,,,,,67,0,3,https://emma.msrb.org/Security/Details/A19B1C3001AF661DC625A9D714FF53817,2026-02-06T23:37:28.550651+00:00
A655550BB8C433500DD198710BA72669D,"CALIFORNIA POLLUTION CONTROL FINANCING AUTHORIT / SOLID WASTE DISPOSAL REFUNDING REVENUE BONDS (REPUBLIC SERVICES, INC. PROJECT) SERIES 2023 (AMT)",CA,144205000,3.8 %,07/01/2043,07/13/2023,07/13/2023,,,,,,,,,,,90,0,23,https://emma.msrb.org/Security/Details/A655550BB8C433500DD198710BA72669D,2026-02-06T23:40:02.853186+00:00
A1F5749C6C2CFB3B574C28DD52735A6BE,THE WALKER COUNTY ECONOMIC AND INDUSTRIAL DEVELOPMENT AUTHORITY / SOLID WASTE DISPOSAL REVENUE BONDS (ALABAMA POWER COMPANY PLANT GORGAS PROJECT) FIRST SERIES 2023-A,AL,140000000,2.95,08/01/2063,08/25/2023,08/25/2023,2.95,,,,,,,,,,100,10,7,https://emma.msrb.org/Security/Details/A1F5749C6C2CFB3B574C28DD52735A6BE,2026-02-06T23:44:08.198884+00:00
AE9575E84344E81A67B8188FBB40FBE45,"PENNSYLVANIA ECONOMIC DEVELOPMENT FINANCING AUTHORITY / SOLID WASTE DISPOSAL REVENUE BONDS (WASTE MANAGEMENT, INC. PROJECT) SERIES 2021A",PA,125000000,4 %,06/01/2041,06/03/2021,07/01/2025,,,,,,,,,,,51,0,34,https://emma.msrb.org/Security/Details/AE9575E84344E81A67B8188FBB40FBE45,2026-02-06T23:44:39.719674+00:00
ADD6DDCF4AAC2C751B98E42248D6A2ABB,"FLORIDA DEVELOPMENT FINANCE CORPORATION / SOLID WASTE DISPOSAL REVENUE BONDS (WASTE PRO USA, INC. PROJECT), SERIES 2023",FL,120000000,6.125 %,07/01/2032,06/22/2023,06/22/2023,,,,,,,,,,,55,0,39,https://emma.msrb.org/Security/Details/ADD6DDCF4AAC2C751B98E42248D6A2ABB,2026-02-06T23:45:15.341952+00:00
A69FA36635588838E0203EA482DA016BB,"PENNSYLVANIA ECONOMIC DEVELOPMENT FINANCING AUTHORITY / SOLID WASTE DISPOSAL REVENUE BONDS, (WASTE MANAGEMENT INC. PROJECT) SERIES 2019A",PA,115000000,3.875 %,08/01/2038,08/15/2019,08/01/2025,,,,,,,,,,,100,0,34,https://emma.msrb.org/Security/Details/A69FA36635588838E0203EA482DA016BB,2026-02-06T23:45:44.394065+00:00
AC941DD234B5CF0EFEA85E940E58048A3,WEST VIRGINIA ECONOMIC DEVELOPMENT AUTHORITY / SOLID WASTE DISPOSAL REVENUE BONDS (NUCOR STEEL PROJECT) SERIES 2025A-1,WV,110000000,2.45,11/01/2065,11/20/2025,11/20/2025,2.45,,,,,,,,,,5,10,4,https://emma.msrb.org/Security/Details/AC941DD234B5CF0EFEA85E940E58048A3,2026-02-06T23:46:20.082584+00:00
A72DB7647F9C05090A016C495802BFF94,WEST VIRGINIA ECONOMIC DEVELOPMENT AUTHORITY / SOLID WASTE DISPOSAL REVENUE BONDS (NUCOR STEEL PROJECT) SERIES 2025B-1,WV,110000000,2.5,11/01/2065,11/20/2025,11/20/2025,2.5,,,,,,,,,,3,10,4,https://emma.msrb.org/Security/Details/A72DB7647F9C05090A016C495802BFF94,2026-02-06T23:46:46.133211+00:00
A24B528CB51AA051C68699C5A35DB5A01,"WEST VIRGINIA ECONOMIC DEVELOPMENT AUTHORITY / SOLID WASTE DISPOSAL FACILITY REVENUE BONDS (CORE NATURAL RESOURCES, INC. PROJECT) SERIES 2025 (AMT)",WV,106355000,5.45 %,01/01/2055,03/27/2025,03/27/2025,,,,,,,,,,,81,0,1,https://emma.msrb.org/Security/Details/A24B528CB51AA051C68699C5A35DB5A01,2026-02-06T23:47:09.996993+00:00
AE3C95BEB364878FE9F7E3752041762B9,"FLORIDA DEVELOPMENT FINANCE CORPORATION / FLORIDA DEVELOPMENT FINANCE CORPORATION SOLID WASTE DISPOSAL REVENUE BONDS (WASTE PRO USA, INC. PROJECT), SERIES 2021",FL,105175000,3 %,06/01/2032,06/08/2021,06/08/2021,,,,,,,,,,,100,0,48,https://emma.msrb.org/Security/Details/AE3C95BEB364878FE9F7E3752041762B9,2026-02-06T23:47:36.120705+00:00
AE93D8A7ECAB98E70971299821B3F28EE,VIRGINIA ELECTRIC AND POWER COMPANY INDUSTRIAL DEVELOPMENT AUTHORITY OF WISE COUNTY / SOLID WASTE AND SEWAGE DISPOSAL REVENUE BONDS (VIRGINIA ELECTRIC AND POWER COMPANY PROJECT) SERIES 2010A (NON-AMT),VA,105000000,3.8 %,11/01/2040,11/16/2010,05/31/2024,,,,,,,,,,,100,0,29,https://emma.msrb.org/Security/Details/AE93D8A7ECAB98E70971299821B3F28EE,2026-02-06T23:48:07.902315+00:00
A67A276E12E6CB392A7F3F7980DF4B4E2,THE INDUSTRIAL DEVELOPMENT AUTHORITY OF BALDWIN COUNTY / SOLID WASTE DISPOSAL REVENUE BONDS (NOVELIS CORPORATION PROJECT) SERIES 2025B,AL,100000000,4.625 %,06/01/2055,09/18/2025,09/18/2025,,,,,,,,,,,27,0,7,https://emma.msrb.org/Security/Details/A67A276E12E6CB392A7F3F7980DF4B4E2,2026-02-06T23:56:03.262677+00:00
AF3207B75495D31A524B5B93B4A511DB9,"CITY OF OSCEOLA, ARKANSAS / SOLID WASTE DISPOSAL REVENUE BONDS (PLUM POINT ENERGY ASSOCIATES, LLC PROJECT), SERIES 2006",AR,100000000,6.5 %,04/01/2036,04/26/2006,03/20/2024,,,,,,,,,,,6,0,14,https://emma.msrb.org/Security/Details/AF3207B75495D31A524B5B93B4A511DB9,2026-02-06T23:56:28.353630+00:00
A14F865F655D5FBC010197040210C826E,"CALIFORNIA MUNICIPAL FINANCE AUTHORITY / SOLID WASTE DISPOSAL REFUNDING REVENUE BONDS (REPUBLIC SERVICES, INC. PROJECT) SERIES 2021A",CA,100000000,3.45 %,07/01/2041,07/01/2021,07/01/2021,,,,,,,,,,,100,0,47,https://emma.msrb.org/Security/Details/A14F865F655D5FBC010197040210C826E,2026-02-06T23:56:52.602657+00:00
A69F35075D7F0CD01E2A3804E451FC883,"CALIFORNIA MUNICIPAL FINANCE AUTHORITY / SOLID WASTE DISPOSAL REVENUE BONDS (REPUBLIC SERVICES, INC. PROJECT) SERIES 2023A",CA,100000000,4.375 %,09/01/2053,09/21/2023,09/21/2023,,,,,,,,,,,98,0,21,https://emma.msrb.org/Security/Details/A69F35075D7F0CD01E2A3804E451FC883,2026-02-07T00:00:46.766102+00:00
