cusip,security_name,state,principal_amount,coupon_pct,maturity_date,dated_date,closing_date,interest_rate_current,rate_type,source_of_repayment,rating_fitch,rating_kbra,rating_moodys,rating_sp,liquidity_facility,provider_identity,remarketing_agent,num_trades,num_rate_resets,num_disclosures,emma_url,crawl_timestamp
A6D5EA69AD7FEA032DD05F66534EC833C,MUNICIPAL FDG TR VAR STS / CTFS BTMFT-2020-011,NA,1021640000,-,11/01/2058,08/17/2020,-,,,,,,,,,,,0,0,0,https://emma.msrb.org/Security/Details/A6D5EA69AD7FEA032DD05F66534EC833C,2026-02-19T18:08:48.925412+00:00
A05E3CAA76EE43C96FBFD647BF09AA39C,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA / MEDICAL CENTER POOLED REVENUE BONDS 2020 SERIES N (TAXABLE),CA,850000000,3.256 %,05/15/2060,03/05/2020,03/05/2020,,,,,,,,,,,100,0,21,https://emma.msrb.org/Security/Details/A05E3CAA76EE43C96FBFD647BF09AA39C,2026-02-19T18:11:17.708052+00:00
ACF022FB8284ECAF9BC49B88DBF1052E1,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA / MEDICAL CENTER POOLED REVENUE BONDS 2020 SERIES N (TAXABLE),CA,650000000,3.006 %,05/15/2050,03/05/2020,03/05/2020,,,,,,,,,,,100,0,21,https://emma.msrb.org/Security/Details/ACF022FB8284ECAF9BC49B88DBF1052E1,2026-02-19T18:14:03.666753+00:00
A210EF86242DBE0D50D1DEB5F27BE3546,HARRIS COUNTY CULTURAL EDUCATION FACILITIES FINANCE CORPORATION / REVENUE BONDS (HOUSTON METHODIST) SERIES 2020B,TX,370000000,2.6,12/01/2059,08/27/2020,08/27/2020,02/17/2026,,,,,,,,,,100,96,94,https://emma.msrb.org/Security/Details/A210EF86242DBE0D50D1DEB5F27BE3546,2026-02-19T18:16:48.440172+00:00
A4B80A4E5951BB06E8584191F7F5988F5,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA / MEDICAL CENTER POOLED REVENUE BONDS 2020 SERIES N (TAXABLE),CA,300000000,3.706 %,05/15/2120,03/05/2020,03/05/2020,,,,,,,,,,,100,0,21,https://emma.msrb.org/Security/Details/A4B80A4E5951BB06E8584191F7F5988F5,2026-02-19T18:17:39.202743+00:00
A1D6A5F7688D12778F9B94FF1422AD6A8,"MARYLAND HEALTH AND HIGHER EDUCATIONAL FACILITIES AUTHORITY / TAXABLE REVENUE BONDS UNIVERSITY OF MARYLAND MEDICAL SYSTEM ISSUE, SERIES 2020D (TAXABLE)",MD,300000000,3.052 %,07/01/2040,07/22/2020,07/22/2020,,,,,,,,,,,100,0,50,https://emma.msrb.org/Security/Details/A1D6A5F7688D12778F9B94FF1422AD6A8,2026-02-19T18:20:21.840163+00:00
A3CBE462CACE64D7A0768C0843C0E5F49,"MARYLAND HEALTH AND HIGHER EDUCATIONAL FACILITIES AUTHORITY / TAXABLE REVENUE BONDS UNIVERSITY OF MARYLAND MEDICAL SYSTEM ISSUE, SERIES 2020D (TAXABLE)",MD,300000000,3.197 %,07/01/2050,07/22/2020,07/22/2020,,,,,,,,,,,100,0,50,https://emma.msrb.org/Security/Details/A3CBE462CACE64D7A0768C0843C0E5F49,2026-02-19T18:23:03.162128+00:00
A0932AC755C9A5EEE32C9AB562BE76BE5,"WESTCHESTER COUNTY LOCAL DEVELOPMENT CORPORATION / REVENUE BONDS, SERIES 2020 (TAXABLE) (WESTCHESTER MEDICAL CENTER OBLIGATED GROUP PROJECT)",NY,300000000,3.846 %,11/01/2050,09/03/2020,09/03/2020,,,,,,,,,,,100,0,67,https://emma.msrb.org/Security/Details/A0932AC755C9A5EEE32C9AB562BE76BE5,2026-02-19T18:25:42.096984+00:00
A999FA58CB559AEA9CE99A043B5E21629,PUBLIC FIN AUTH WIS REV / REF BDS WAKE FOREST BAPTIST OBLIGATED GROUP 2020,WI,230450000,2.31 %,06/01/2034,05/14/2020,-,,,,,,,,,,,0,0,48,https://emma.msrb.org/Security/Details/A999FA58CB559AEA9CE99A043B5E21629,2026-02-19T18:26:25.475062+00:00
AA0E864620D16E3ABFE3E84F078B59052,"HEALTH AND EDUCATIONAL FACILITIES AUTHORITY OF THE STATE OF MISSOURI / HEALTH FACILITIES REVENUE BONDS, (MERCY HEALTH) SERIES 2020",MO,225005000,4 %,06/01/2053,10/13/2020,10/13/2020,,,,,,,,,,,100,0,63,https://emma.msrb.org/Security/Details/AA0E864620D16E3ABFE3E84F078B59052,2026-02-19T18:26:56.484079+00:00
