cusip,security_name,state,principal_amount,coupon_pct,maturity_date,dated_date,closing_date,interest_rate_current,rate_type,source_of_repayment,rating_fitch,rating_kbra,rating_moodys,rating_sp,liquidity_facility,provider_identity,remarketing_agent,num_trades,num_rate_resets,num_disclosures,emma_url,crawl_timestamp
AB625C09C14B4E3637183FDBEE625C08E,"MARYLAND HEALTH AND HIGHER EDUCATIONAL FACILITIES AUTHORITY / REVENUE BONDS MEDSTAR HEALTH ISSUE, SERIES 2026A (FIXED RATE)",MD,215545000,5.25 %,08/15/2054,02/12/2026,02/12/2026,,,,,,,,,,,100,0,4,https://emma.msrb.org/Security/Details/AB625C09C14B4E3637183FDBEE625C08E,2026-02-19T18:44:10.683240+00:00
A7F899C4CB99F18395D310AD906EEF915,"STATE OF CONNECTICUT HEALTH AND EDUCATIONAL FACILITIES AUTHORITY / REVENUE BONDS, HARTFORD HEALTHCARE ISSUE SERIES 2026A (FIXED RATE)",CT,150000000,5 %,07/01/2031,02/11/2026,02/11/2026,,,,,,,,,,,62,0,1,https://emma.msrb.org/Security/Details/A7F899C4CB99F18395D310AD906EEF915,2026-02-19T18:45:28.582245+00:00
A9BBD312E1987D84E4DC79D2D49D27D41,TARRANT COUNTY CULTURAL EDUCATION FACILITIES FINANCE CORPORATION / HOSPITAL REVENUE BONDS (BAYLOR SCOTT & WHITE HEALTH PROJECT) SERIES 2026F (FIXED RATE),TX,149515000,5 %,11/15/2055,02/19/2026,02/19/2026,,,,,,,,,,,35,0,2,https://emma.msrb.org/Security/Details/A9BBD312E1987D84E4DC79D2D49D27D41,2026-02-19T18:46:26.145686+00:00
A05B3649BC7E8239F7A6643CC3D2B199E,TARRANT COUNTY CULTURAL EDUCATION FACILITIES FINANCE CORPORATION / HOSPITAL REVENUE BONDS (BAYLOR SCOTT & WHITE HEALTH PROJECT) SERIES 2026G (FIXED RATE PUT),TX,143800000,5 %,11/15/2055,02/19/2026,02/19/2026,,,,,,,,,,,17,0,2,https://emma.msrb.org/Security/Details/A05B3649BC7E8239F7A6643CC3D2B199E,2026-02-19T18:46:57.662475+00:00
A12E1B5590E91DD596BE99BC8567BEEA6,"FLORIDA DEVELOPMENT FINANCE CORPORATION / HEALTHCARE FACILITIES REVENUE BONDS (TAMPA GENERAL HOSPITAL PROJECT), SERIES 2026B (TERM MODE)",FL,133000000,5 %,08/01/2056,02/10/2026,02/10/2026,,,,,,,,,,,38,0,4,https://emma.msrb.org/Security/Details/A12E1B5590E91DD596BE99BC8567BEEA6,2026-02-19T18:47:22.646953+00:00
AB482028FA2EE5C04E3D0818AEE58CB5F,TENDER OPT BD TR RCPTS / CTFS VAR STS / CTFS 2026-MS0091,NA,131245000,-,12/31/2035,01/22/2026,-,,,,,,,,,,,0,0,0,https://emma.msrb.org/Security/Details/AB482028FA2EE5C04E3D0818AEE58CB5F,2026-02-19T18:47:49.444204+00:00
A2A9320F02CF6AD27D9B3BC8A74CF189F,ILLINOIS FIN AUTH REV / BDS ENDEAVOR HEALTH 2022 G,IL,130000000,7 %,08/15/2057,04/14/2022,-,,,,,,,,,,,0,0,4,https://emma.msrb.org/Security/Details/A2A9320F02CF6AD27D9B3BC8A74CF189F,2026-02-19T18:48:12.065197+00:00
A2E078907CF9DE32FF78E898233C2AF68,TENDER OPT BD TR RCPTS / CTFS VAR STS / CTFS 2026-VRS223,NA,130000000,7 %,08/15/2057,01/29/2026,-,,,,,,,,,,,0,0,0,https://emma.msrb.org/Security/Details/A2E078907CF9DE32FF78E898233C2AF68,2026-02-19T18:48:35.273486+00:00
A171BC79E2BF6E244320A85BC398F4886,PUBLIC FINANCE AUTHORITY / SERIES 2026-VRS223 CLASS A TENDER CERTIFICATES,WI,129000000,1.9,08/15/2057,01/29/2026,01/29/2026,1.9,,,,,,,,,,3,10,4,https://emma.msrb.org/Security/Details/A171BC79E2BF6E244320A85BC398F4886,2026-02-19T18:49:03.312549+00:00
A57164D9024D28D316352B63E753F7BAE,TENDER OPT BD TR RCPTS / CTFS VAR STS / CTFS 2026-MS0091,NA,126215000,5 %,12/31/2035,01/22/2026,-,,,,,,,,,,,0,0,0,https://emma.msrb.org/Security/Details/A57164D9024D28D316352B63E753F7BAE,2026-02-19T18:49:27.304604+00:00
