closing_month,project,sponsor,reason,recheck,source_url,notes
Jul-2025,Broadway Farms,St. Charles Town Company,q6_new_issuance_2025_2026,after the new deal closes,https://phoenixida.com/2026/08/07/phoenix-ida-update-summer-2026/,"Phase I 190 units closed 7/28/2025 (~$80M total w/ UMB, CREA, Citi); Phase II $20M Phoenix IDA bonds closed by Aug 2026 = NEW ISSUANCE; borrower per Phoenix IDA Oct-2024 board memo"
Jun-2025,Emory Heights,Danco Group / Danco Communities,q6_new_issuance_2025_2026,after the new deal closes,https://www.danco-group.com/projects/emory-heights-apartments-2,"62 units, Solano TOD district, construction underway 2025-26; the Jun-2025 closing itself is a 2025 issuance"
Oct-2024,Glendale Apartments,The Richman Group,q6_new_issuance_2025_2026,after the new deal closes,https://phoenixida.com/2026/04/24/phoenix-ida-april-2026-update/,45-unit 55+ opened 2026; NEW: Helen Drake Village $15M PAB groundbreaking Apr 10 2026 (Phoenix IDA) + AZ IDA Res 2025-30 NTE $26M for Richman Jul 2025 + TRG 41st Ave 86-unit senior planned
Apr-2023,Foothills Village Apartments,unknown,sponsor_unknown,,https://phoenixida.com/2023/02/16/foothills-village-apartments-project-2023-tefra-notice-summary/,200-unit 1972 LIHTC property; second Phoenix IDA deal ($15M Nov-2020 + $3M Apr-2023 for landscaping/improvements); sponsor behind FVA LLC not found
May-2022,Overland Crossing,unknown,sponsor_unknown,,https://www.paceproperties.com/property/overland-crossing-1528,"Address matches Whole Foods-anchored RETAIL center at 119th & Metcalf (SWC), Overland Park KS - housing guess not supported; Phoenix IDA board approved Dec 2021; borrower not found in public sources"
Apr-2022,Harmony at the Park II,Gorman & Company,q6_new_issuance_2025_2026,after the new deal closes,https://phoenixida.com/2022/07/25/healthcare-housing-and-redevelopment-project-news/,"~115 affordable units; NEW: Phoenix IDA TEFRA 6/6/2025 NTE $35M for Horizon on Villa LLC (109 units, 500 N 20th St) https://phoenixida.com/wp-content/uploads/2025/05/PHX-IDA-Horizon-on-Villa-2025-Gorm"
Jun-2021,Mesquite Terrace,"Housing for Hope, Inc.",q6_new_issuance_2025_2026,after the new deal closes,https://phoenixida.com/wp-content/uploads/2025/01/Phx-IDA-Mesquite-Terrace-2025-Reissuance-TEFRA-Notice.pdf,297 units opened 2024; Phoenix IDA TEFRA 1/21/2025 for REISSUANCE of NTE $48M notes = 2025 issuance event; co-developer domain trinityhousingdevelopment.com; Acacia Heights III (2026) used LIHTC/ARPA 
Nov-2020,Soluna II,Gorman & Company,q6_new_issuance_2025_2026,after the new deal closes,https://www.gormanusa.com/choice-neighborhoods-opened-soluna-apartments-in-phoenix-az/,Soluna = 177-unit mixed-income (80% affordable) at 19th St & Roosevelt; same sponsor as Harmony at the Park II; see Horizon on Villa 2025 TEFRA
Aug-2014,Hill N Dell Apartments,unknown,sponsor_unknown,,https://housing.az.gov/phoenix-landing,140-unit HUD-subsidized family property; owner LLC found but parent sponsor not identified
Apr-2013,"Vieste SPE, LLC","Vieste Energy, LLC",defunct,,https://www.courtlistener.com/opinion/10273558/crossfirst-bank-v-vieste-spe-llc/,Solid waste disposal revenue bonds; MRF completed 2014 but never reached commercial operations; bondholders lost investment; Crossfirst Bank v. Vieste SPE (D. Ariz. 2018) - DO NOT PROSPECT
Jan-2013,Republic Services,"Republic Services, Inc.",q6_new_issuance_2025_2026,after the new deal closes,https://www.sec.gov/Archives/edgar/data/0001060391/000106039126000275/rsg-20260630.htm,$1.4B tax-exempt financings outstanding at 6/30/2026; NEW: Mar 2026 $100M CMFA solid waste bonds; publicly traded - not a conduit-advisory prospect
Dec-2011,Marcos de Niza Apartments,City of Phoenix Housing Department,municipal,,https://www.phoenix.gov/content/dam/phoenix/housingsite/documents/choiceneigh/cn_mdn_fact_sheet.pdf,City-owned public housing between Central & 7th Ave; MUNICIPAL - exclude
