issuer,closing_month,project,address,state,amount_financed,sector_guess,closed,entity_type,sponsor,source,source_url,retrieved
Phoenix Industrial Development Authority,Jul-2025,Broadway Farms,"4201 S. 91st Ave., Phoenix, AZ",AZ,51500000,housing,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Jun-2025,Emory Heights,"5307/5245 N. 17th Ave., Phoenix, AZ",AZ,14600000,housing,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Dec-2024,Brooks Rehabilitation,"5777 E. Mayo Blvd., Phoenix, AZ",AZ,80545000,healthcare,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Dec-2024,Memorial Towers,"1405 S. 7th Ave., Phoenix, AZ",AZ,33997229,housing,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Oct-2024,Glendale Apartments,"6819 N. 27th Ave., Phoenix, AZ",AZ,10940000,housing,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,May-2024,"GW-SLB II, LLC (Goodwill Retail Store)","8517 W. Grand Ave., Peoria, AZ",AZ,6400500,industrial_or_other,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,May-2024,"AGES-SLB, LLC (Goodwill Excel Center)","4837 E. McDowell Road, Phoenix, AZ",AZ,4462500,industrial_or_other,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Oct-2023,Residences at Falcon Park,"1220 N. 34th Ave., Phoenix, AZ",AZ,30000000,housing,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Aug-2023,La Esperanza Terrace (formerly Bret Tarver Terrace),"3101 W. McDowell Road, Phoenix, AZ",AZ,18400000,housing,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Jul-2023,Pueblo Apartments,"316 W. Broadway Rd., Phoenix, AZ",AZ,24200000,housing,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Apr-2023,Foothills Village Apartments,"920 W. Alta Vista Rd., Phoenix, AZ",AZ,3000000,housing,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Nov-2022,Rowan University,"Rowan Boulevard, Glassboro, NJ",NJ,205390000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,May-2022,Overland Crossing,"11900 - 12070 Metcalf Ave., Overland, KS",KS,15800000,housing,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Apr-2022,Harmony at the Park II,"600 N. 20th St., Phoenix, AZ",AZ,24000000,housing,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Apr-2022,Mayo ClinicH,"5777 E. Mayo Blvd., Phoenix, AZ",AZ,298650000,healthcare,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Jan-2022,"The Provident Group - Falcon Properties LLC Project ""USAFA Hotel""","Colorado Springs, CO",CO,231891600,unknown,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Sep-2021,Chicanos Por La Causa (CPLC) Phoenix Memorial Redevelopment Project,"1201 and 1301 South 7th Avenue, and 515 West Buckeye Road in Phoenix, AZ",AZ,42000000,unknown,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Jun-2021,Mesquite TerraceX,"5033, 5039, 5045, 5107 N. 19th Ave., Phoenix, AZ",AZ,48000000,housing,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Nov-2020,Soluna II,"1825 E. Roosevelt St., Phoenix, AZ",AZ,8000000,unknown,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Oct-2020,ASU Preparatory Academy,"5610 S. Central Ave., Phoenix, AZ 4441, 4447, 4453 S. 12th St., Phoenix, AZ",AZ,4335000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Sep-2020,Northwest Christian School,"16401 N. 43rd Ave., Phoenix, AZ",AZ,7395000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Dec-2019,Arizona State University - Downtown Phoenix Student Housing II,"Southwest corner of Fillmore Street and First Avenue in Phoenix, Arizona",AZ,61810000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Oct-2019,Goodwill of Central and Northern Arizona                                                          H18X0A,"2626 W. Beryl Ave., Phoenix, AZ 14063 N. Grand Ave., Surprise, AZ",AZ,18000000,industrial_or_other,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Aug-2019,Rowan University,"Rowan Boulevard, Glassboro, NJ",NJ,191425000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,May-2019,Leman Academy of Excellence,"12255 N. La Canada Dr., Oro Valley, AZ",AZ,8385000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Apr-2019,Summit School                                                                                                   A,"4515 East Muirwood Dr., Phoenix, AZ",AZ,8700000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Jan-2019,Arizona School for the Arts,"1410 N 3rd St, Phoenix, AZ 85004",AZ,10620000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
