closing_month,project,obligated_person,sponsor,sponsor_domain,entity_type,sector,bonds_likely_outstanding,new_issuance_2025_2026,source_url,notes
Jul-2025,Broadway Farms,4201 S 91st Avenue Owner LLLP (applicant St. Charles LIHTC Investors LLC),St. Charles Town Company (co-developer Vintage Partners),stcharlestown.com,private_for_profit,housing_affordable,Y,Y,https://phoenixida.com/2026/08/07/phoenix-ida-update-summer-2026/,"Phase I 190 units closed 7/28/2025 (~$80M total w/ UMB, CREA, Citi); Phase II $20M Phoenix IDA bonds closed by Aug 2026 = NEW ISSUANCE; borrower per Phoenix IDA Oct-2024 board memo"
Jun-2025,Emory Heights,"unknown (Phoenix IDA board final approval 3/20/2025, NTE $15M Series 2025)",Danco Group / Danco Communities (Arcata CA),danco-group.com,private_for_profit,housing_affordable,Y,Y,https://www.danco-group.com/projects/emory-heights-apartments-2,"62 units, Solano TOD district, construction underway 2025-26; the Jun-2025 closing itself is a 2025 issuance"
Dec-2024,Memorial Towers,Memorial Towers (TC2) Senior Housing Limited Partnership,National Church Residences,nationalchurchresidences.org,nonprofit_501c3,housing_affordable,Y,unknown,https://phoenixida.com/wp-content/uploads/2024/10/Phx-IDA-Memorial-Towers-2024-TEFRA-Notice.pdf,153-unit senior (62+) LIHTC rehab; grand reopening Aug 25 2026; NCR is a national nonprofit - no new AZ issuance found but activity elsewhere likely
Oct-2024,Glendale Apartments,"Richman Glendale Senior, LLC",The Richman Group (Richman Group Development Corp / Richman Group of Arizona),therichmangroup.com,private_for_profit,housing_affordable,Y,Y,https://phoenixida.com/2026/04/24/phoenix-ida-april-2026-update/,45-unit 55+ opened 2026; NEW: Helen Drake Village $15M PAB groundbreaking Apr 10 2026 (Phoenix IDA) + AZ IDA Res 2025-30 NTE $26M for Richman Jul 2025 + TRG 41st Ave 86-unit senior planned
May-2024,"GW-SLB II, LLC (Goodwill Retail Store)","GW-SLB II, LLC",Goodwill of Central and Northern Arizona,goodwillaz.org,nonprofit_501c3,other,unknown,unknown,https://phoenixida.com/2024/06/24/phoenix-ida-and-pcdic-update-june-2024/,Lease revenue bonds for retail donation center at Grand Ave & 85th Ave; note IDA newsletter amounts ($6.4M Excel Center / $4.5M Grand Ave) appear swapped vs transaction list
May-2024,"AGES-SLB, LLC (Goodwill Excel Center)","AGES-SLB, LLC",Goodwill of Central and Northern Arizona,goodwillaz.org,nonprofit_501c3,charter_school,unknown,unknown,https://phoenixida.com/2024/03/28/ages-slb-llc-notice-of-public-hearing-tefra-notice-summary/,Excel Center = tuition-free charter high school for adults at 4837 E McDowell; refinanced existing debt at lower rate; same sponsor as GW-SLB II and Oct-2019 Goodwill deal
Oct-2023,Residences at Falcon Park,"Falcon Park, LLC","Pacificap (PacifiCap Properties Group / Pacificap Construction, Portland OR) with nonprofit Family Housing Community Development Corp",pacificap.com,private_for_profit,housing_affordable,Y,unknown,https://phoenixida.com/2023/09/22/residences-at-falcon-park-project-2023-tefra-notice-summary/,"192 units on former military annex, completed 2025, managed by PacifiCap Properties Group; Pacificap site lists owner as MHA (unresolved)"
Aug-2023,La Esperanza Terrace (formerly Bret Tarver Terrace),"UMOM Housing 9, LLC",UMOM New Day Centers (UMOM Helping Hands Housing Services),umom.org,nonprofit_501c3,housing_affordable,Y,unknown,https://phoenixida.com/2023/06/14/bret-tarver-terrace-project-2023-tefra-notice-summary/,"96 units opened Apr 2025; pipeline: Salamanca Square 192 units (UMOM Housing 11 LLC, 3832 W Grand Ave) per 2026 City of Phoenix FONSI - bond financing not confirmed publicly"
Jul-2023,Pueblo Apartments,"CPLC Broadway and Central LIHTC, LLC",Chicanos Por La Causa (CPLC),cplc.org,nonprofit_501c3,housing_affordable,Y,unknown,https://phoenixida.com/2023/01/19/pueblo-apartments-project-2023-tefra-hearing-summary/,"161 units, opened 2025 as Ascent on Broadway; CPLC Casa del Pueblo Tucson (Jan 2026) used 9% LIHTC + KeyBank loan, no bonds reported"
Apr-2023,Foothills Village Apartments,"FVA, LLC",unknown (managed by MEB Affordable Management Services),unknown,unknown,housing_affordable,unknown,unknown,https://phoenixida.com/2023/02/16/foothills-village-apartments-project-2023-tefra-notice-summary/,200-unit 1972 LIHTC property; second Phoenix IDA deal ($15M Nov-2020 + $3M Apr-2023 for landscaping/improvements); sponsor behind FVA LLC not found
