date,station,event,actor_role,status,reason
2025-02-26,1_facility,issuer_engagement,conduit_issuer,fired,
2025-03-28,1_facility,prelim_resolution,conduit_issuer,fired,
2025-04-12,2_conduit,application_filed,obligated_person,fired,
2025-04-17,2_conduit,indemnity_accepted,obligated_person,fired,
2025-06-06,5_buyers,g17_letter,underwriter,fired,
2025-06-11,3_issuance,final_resolution,conduit_issuer,fired,
2025-06-14,4_structure,scale_locked,municipal_advisor,fired,
2025-06-17,5_buyers,lom_posted,underwriter,fired,
2025-06-21,5_buyers,investment_letters,underwriter,fired,
2025-06-26,6_borrower_prep,cda_executed,obligated_person,fired,
2025-06-26,5_buyers,closing,conduit_issuer,fired,
2025-06-26,4_structure,indenture_executed,trustee,fired,
2025-06-27,5_buyers,g32_os_filed,underwriter,fired,
2025-08-11,6_borrower_prep,8038_filed,conduit_issuer,fired,
2026-06-15,6_borrower_prep,afs_posted_fy2025,obligated_person,fired,
,3_issuance,afa_confirm,second_board,skipped,party role second_board absent
,3_issuance,tefra_hearing,conduit_issuer,unknown,not carried by scenario; not invented
,3_issuance,tefra_notice,conduit_issuer,unknown,not carried by scenario; not invented
