obligation_id,obligation,source_document,clause,recipient,frequency,due_rule_text_verbatim,due_dates_approved,approved_by,approval_ref,evidence_pattern
OB-01,Annual Report to MSRB (audited FS + occupancy + DSCR),03-continuing-disclosure-agreement.md,Section 4(a),MSRB,annual,"not later than one hundred eighty (180) days after the end of each Fiscal Year, commencing with the Fiscal Year ending December 31, 2025",2026-06-29;2027-06-29,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md,annual-report-FY{fy}
OB-02,Audited financial statements filed when available if not in Annual Report,03-continuing-disclosure-agreement.md,Section 4(b),MSRB,conditional,the audited financial statements shall be filed when they become available,,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md,
OB-03,Notice of failure to file Annual Report,03-continuing-disclosure-agreement.md,Section 4(d),MSRB,conditional,"If the Borrower is unable to provide the Annual Report by the date required in Section 4(a), the Borrower shall ... send a notice to the MSRB",,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md,
OB-04,Listed Event notices (16 events),03-continuing-disclosure-agreement.md,Section 5(a),MSRB,event-driven,in a timely manner not in excess of ten (10) Business Days after the occurrence of the event,,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md,
OB-05,Notice of change in Fiscal Year,03-continuing-disclosure-agreement.md,Section 4(e),MSRB,event-driven,the Borrower shall give notice of such change in the same manner as for a Listed Event,,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md,
OB-06,Quarterly rent roll and occupancy report,02-loan-agreement-excerpt.md,Section 6.8,Issuer; Trustee,quarterly,Within forty-five (45) days after the end of each calendar quarter,2025-11-14;2026-02-14;2026-05-15;2026-08-14;2026-11-14;2027-02-14,Ironwood Trust Company (dissemination agent),approval-2026-09-08.md,quarterly-report-{period}
OB-07,Annual Certificate of No Default,02-loan-agreement-excerpt.md,Section 6.5,Issuer; Trustee,annual,Within one hundred twenty (120) days after the end of each Fiscal Year,2026-04-30;2027-04-30,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md,no-default-cert-FY{fy}
OB-08,Insurance certificates,02-loan-agreement-excerpt.md,Section 6.3,Trustee,annual,On or before each anniversary of the Closing Date,2026-06-26;2027-06-26,Ironwood Trust Company (dissemination agent),approval-2026-09-08.md,insurance-cert-{year}
OB-09,Audited financial statements to Trustee,02-loan-agreement-excerpt.md,Section 6.6,Trustee,annual,within one hundred eighty (180) days after the end of such Fiscal Year,2026-06-29;2027-06-29,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md,afs-FY{fy}
OB-10,Debt Service Coverage Ratio calculation delivered with audited FS,02-loan-agreement-excerpt.md,Section 6.9,Trustee,annual,The Borrower shall deliver the calculation of such ratio to the Trustee together with such audited financial statements,2026-06-29;2027-06-29,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md,dscr-calc-FY{fy}
OB-11,Other information on reasonable request,02-loan-agreement-excerpt.md,Section 6.10,Trustee,on request,such other information regarding the Project as the Trustee may reasonably request from time to time,,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md,
OB-12,Notice of litigation,02-loan-agreement-excerpt.md,Section 6.12,Issuer; Trustee,event-driven,promptly notify ... of any litigation ... that ... could reasonably be expected to have a material adverse effect,,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md,
OB-13,Certificate of Continuing Program Compliance (IRC 142(d)),04-tax-regulatory-agreement-excerpt.md,Section 4.3,Issuer; Trustee,annual,On or before January 31 of each year,2026-01-31;2027-01-31,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md,ccpc-{year}
OB-14,Rebate computation delivered to Trustee,04-tax-regulatory-agreement-excerpt.md,Section 5.2,Trustee,every 5th Bond Year,within sixty (60) days after the applicable Computation Date; Computation Date means each fifth anniversary of the Closing Date and the date of final payment,2030-08-25,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md,rebate-calc-{year}
OB-15,Record retention,04-tax-regulatory-agreement-excerpt.md,Section 6.1,Borrower (internal),standing,for the term of the Bonds plus three (3) years after the final payment of the Bonds,,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md,
OB-16,Notice prior to change in use,04-tax-regulatory-agreement-excerpt.md,Section 6.4,Issuer; Bond Counsel,event-driven,shall notify the Issuer and Bond Counsel prior to any change in use of the Project,,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md,
OB-17,Quarterly compliance report (Low-Income Units),05-regulatory-agreement-excerpt.md,Section 3.5,Issuer,quarterly,Within fifteen (15) days after the end of each calendar quarter,2025-10-15;2026-01-15;2026-04-15;2026-07-15;2026-10-15;2027-01-15,Ironwood Trust Company (dissemination agent),approval-2026-09-08.md,lura-quarterly-{period}
OB-18,Annual tenant income certifications on file,05-regulatory-agreement-excerpt.md,Section 3.4,Borrower (internal),annual,upon initial occupancy and annually thereafter,,Creosote & Mesa LLP (bond counsel),approval-2026-09-08.md,
